"","Date","Time","nObs"
"1",2019-06-02,2020-07-11 20:53:00,"1"
"2",2019-06-02,2020-07-11 20:59:00,"1"
"3",2019-06-02,2020-07-11 21:00:00,"1"
"4",2019-06-02,2020-07-11 21:01:00,"1"
"5",2019-06-02,2020-07-11 21:02:00,"1"
"6",2019-06-02,2020-07-11 21:05:00,"1"
"7",2019-06-05,2020-07-11 20:22:00,"1"
"8",2019-06-05,2020-07-11 20:38:00,"1"
"9",2019-06-05,2020-07-11 20:45:00,"2"
"10",2019-06-05,2020-07-11 20:46:00,"1"
"11",2019-06-05,2020-07-11 20:54:00,"1"
"12",2019-06-05,2020-07-11 20:55:00,"1"
"13",2019-06-05,2020-07-11 20:56:00,"1"
"14",2019-06-05,2020-07-11 20:57:00,"1"
"15",2019-06-07,2020-07-11 20:18:00,"1"
"16",2019-06-07,2020-07-11 20:19:00,"1"
"17",2019-06-07,2020-07-11 20:21:00,"1"
"18",2019-06-07,2020-07-11 20:32:00,"1"
"19",2019-06-07,2020-07-11 20:35:00,"1"
"20",2019-06-07,2020-07-11 20:36:00,"1"
"21",2019-06-07,2020-07-11 20:38:00,"2"
"22",2019-06-07,2020-07-11 20:41:00,"1"
"23",2019-06-07,2020-07-11 20:44:00,"1"
"24",2019-06-07,2020-07-11 20:47:00,"1"
"25",2019-06-07,2020-07-11 20:49:00,"3"
"26",2019-06-07,2020-07-11 20:52:00,"1"
"27",2019-06-07,2020-07-11 20:55:00,"1"
"28",2019-06-07,2020-07-11 20:57:00,"1"
"29",2019-06-07,2020-07-11 20:58:00,"1"
"30",2019-06-07,2020-07-11 21:00:00,"1"
"31",2019-06-07,2020-07-11 21:01:00,"1"
"32",2019-06-07,2020-07-11 21:04:00,"2"
"33",2019-06-07,2020-07-11 21:07:00,"2"
"34",2019-06-07,2020-07-11 21:08:00,"1"
"35",2019-06-07,2020-07-11 21:10:00,"2"
"36",2019-06-07,2020-07-11 21:11:00,"1"
"37",2019-06-07,2020-07-11 21:12:00,"1"
"38",2019-06-07,2020-07-11 21:13:00,"3"
"39",2019-06-07,2020-07-11 21:14:00,"1"
"40",2019-06-07,2020-07-11 21:16:00,"1"
"41",2019-06-09,2020-07-11 20:23:00,"1"
"42",2019-06-09,2020-07-11 20:26:00,"1"
"43",2019-06-09,2020-07-11 20:28:00,"1"
"44",2019-06-09,2020-07-11 20:29:00,"1"
"45",2019-06-09,2020-07-11 20:42:00,"1"
"46",2019-06-09,2020-07-11 20:43:00,"1"
"47",2019-06-09,2020-07-11 20:44:00,"1"
"48",2019-06-09,2020-07-11 20:45:00,"1"
"49",2019-06-09,2020-07-11 20:46:00,"2"
"50",2019-06-09,2020-07-11 20:47:00,"1"
"51",2019-06-09,2020-07-11 20:48:00,"2"
"52",2019-06-09,2020-07-11 20:49:00,"3"
"53",2019-06-09,2020-07-11 20:51:00,"2"
"54",2019-06-09,2020-07-11 20:53:00,"2"
"55",2019-06-09,2020-07-11 20:58:00,"2"
"56",2019-06-09,2020-07-11 20:59:00,"2"
"57",2019-06-09,2020-07-11 21:00:00,"1"
"58",2019-06-09,2020-07-11 21:01:00,"2"
"59",2019-06-09,2020-07-11 21:05:00,"1"
"60",2019-06-09,2020-07-11 21:06:00,"1"
"61",2019-06-09,2020-07-11 21:08:00,"2"
"62",2019-06-09,2020-07-11 21:10:00,"1"
"63",2019-06-09,2020-07-11 21:12:00,"1"
"64",2019-06-11,2020-07-11 20:33:00,"1"
"65",2019-06-11,2020-07-11 20:37:00,"1"
"66",2019-06-11,2020-07-11 20:42:00,"1"
"67",2019-06-11,2020-07-11 20:44:00,"1"
"68",2019-06-11,2020-07-11 20:45:00,"1"
"69",2019-06-11,2020-07-11 20:46:00,"1"
"70",2019-06-11,2020-07-11 20:48:00,"1"
"71",2019-06-11,2020-07-11 20:53:00,"2"
"72",2019-06-11,2020-07-11 20:58:00,"1"
"73",2019-06-11,2020-07-11 21:03:00,"1"
"74",2019-06-11,2020-07-11 21:06:00,"1"
"75",2019-06-11,2020-07-11 21:07:00,"1"
"76",2019-06-11,2020-07-11 21:08:00,"1"
"77",2019-06-13,2020-07-11 20:40:00,"1"
"78",2019-06-13,2020-07-11 20:50:00,"1"
"79",2019-06-13,2020-07-11 21:01:00,"1"
"80",2019-06-13,2020-07-11 21:02:00,"1"
"81",2019-06-13,2020-07-11 21:05:00,"1"
"82",2019-06-13,2020-07-11 21:11:00,"1"
"83",2019-06-15,2020-07-11 20:47:00,"2"
"84",2019-06-15,2020-07-11 20:49:00,"1"
"85",2019-06-15,2020-07-11 20:54:00,"1"
"86",2019-06-15,2020-07-11 20:56:00,"1"
"87",2019-06-15,2020-07-11 20:58:00,"1"
"88",2019-06-15,2020-07-11 21:03:00,"1"
"89",2019-06-15,2020-07-11 21:05:00,"1"
"90",2019-06-15,2020-07-11 21:06:00,"1"
"91",2019-06-15,2020-07-11 21:07:00,"1"
"92",2019-06-15,2020-07-11 21:08:00,"1"
"93",2019-06-15,2020-07-11 21:09:00,"1"
"94",2019-06-15,2020-07-11 21:10:00,"1"
"95",2019-06-15,2020-07-11 21:12:00,"1"
"96",2019-06-15,2020-07-11 21:14:00,"1"
"97",2019-06-18,2020-07-11 20:39:00,"1"
"98",2019-06-18,2020-07-11 20:51:00,"1"
"99",2019-06-18,2020-07-11 20:52:00,"1"
"100",2019-06-18,2020-07-11 20:55:00,"1"
"101",2019-06-18,2020-07-11 21:01:00,"1"
"102",2019-06-18,2020-07-11 21:03:00,"1"
"103",2019-06-18,2020-07-11 21:04:00,"1"
"104",2019-06-18,2020-07-11 21:05:00,"2"
"105",2019-06-19,2020-07-11 20:49:00,"2"
"106",2019-06-19,2020-07-11 20:51:00,"1"
"107",2019-06-19,2020-07-11 20:54:00,"1"
"108",2019-06-19,2020-07-11 20:55:00,"1"
"109",2019-06-19,2020-07-11 20:56:00,"2"
"110",2019-06-19,2020-07-11 20:57:00,"1"
"111",2019-06-19,2020-07-11 20:59:00,"1"
"112",2019-06-19,2020-07-11 21:00:00,"2"
"113",2019-06-19,2020-07-11 21:03:00,"1"
"114",2019-06-19,2020-07-11 21:04:00,"1"
"115",2019-06-19,2020-07-11 21:07:00,"1"
"116",2019-06-19,2020-07-11 21:14:00,"1"
"117",2019-06-19,2020-07-11 21:16:00,"1"
"118",2019-06-20,2020-07-11 20:55:00,"2"
"119",2019-06-20,2020-07-11 20:57:00,"1"
"120",2019-06-20,2020-07-11 21:01:00,"2"
"121",2019-06-20,2020-07-11 21:02:00,"1"
"122",2019-06-20,2020-07-11 21:07:00,"1"
