"","Date","Time"
"1","2019-06-02",2020-07-11 20:53:00
"2","2019-06-02",2020-07-11 20:59:00
"3","2019-06-02",2020-07-11 21:00:00
"4","2019-06-02",2020-07-11 21:01:00
"5","2019-06-02",2020-07-11 21:02:00
"6","2019-06-02",2020-07-11 21:05:00
"7","2019-06-05",2020-07-11 20:22:00
"8","2019-06-05",2020-07-11 20:38:00
"9","2019-06-05",2020-07-11 20:45:00
"10","2019-06-05",2020-07-11 20:45:00
"11","2019-06-05",2020-07-11 20:46:00
"12","2019-06-05",2020-07-11 20:54:00
"13","2019-06-05",2020-07-11 20:55:00
"14","2019-06-05",2020-07-11 20:56:00
"15","2019-06-05",2020-07-11 20:57:00
"16","2019-06-07",2020-07-11 20:18:00
"17","2019-06-07",2020-07-11 20:19:00
"18","2019-06-07",2020-07-11 20:21:00
"19","2019-06-07",2020-07-11 20:32:00
"20","2019-06-07",2020-07-11 20:35:00
"21","2019-06-07",2020-07-11 20:36:00
"22","2019-06-07",2020-07-11 20:38:00
"23","2019-06-07",2020-07-11 20:38:00
"24","2019-06-07",2020-07-11 20:41:00
"25","2019-06-07",2020-07-11 20:44:00
"26","2019-06-07",2020-07-11 20:47:00
"27","2019-06-07",2020-07-11 20:49:00
"28","2019-06-07",2020-07-11 20:49:00
"29","2019-06-07",2020-07-11 20:49:00
"30","2019-06-07",2020-07-11 20:52:00
"31","2019-06-07",2020-07-11 20:55:00
"32","2019-06-07",2020-07-11 20:57:00
"33","2019-06-07",2020-07-11 20:58:00
"34","2019-06-07",2020-07-11 21:00:00
"35","2019-06-07",2020-07-11 21:01:00
"36","2019-06-07",2020-07-11 21:04:00
"37","2019-06-07",2020-07-11 21:04:00
"38","2019-06-07",2020-07-11 21:07:00
"39","2019-06-07",2020-07-11 21:07:00
"40","2019-06-07",2020-07-11 21:08:00
"41","2019-06-07",2020-07-11 21:10:00
"42","2019-06-07",2020-07-11 21:10:00
"43","2019-06-07",2020-07-11 21:11:00
"44","2019-06-07",2020-07-11 21:12:00
"45","2019-06-07",2020-07-11 21:13:00
"46","2019-06-07",2020-07-11 21:13:00
"47","2019-06-07",2020-07-11 21:13:00
"48","2019-06-07",2020-07-11 21:14:00
"49","2019-06-07",2020-07-11 21:16:00
"50","2019-06-09",2020-07-11 20:23:00
"51","2019-06-09",2020-07-11 20:26:00
"52","2019-06-09",2020-07-11 20:28:00
"53","2019-06-09",2020-07-11 20:29:00
"54","2019-06-09",2020-07-11 20:42:00
"55","2019-06-09",2020-07-11 20:43:00
"56","2019-06-09",2020-07-11 20:44:00
"57","2019-06-09",2020-07-11 20:45:00
"58","2019-06-09",2020-07-11 20:46:00
"59","2019-06-09",2020-07-11 20:46:00
"60","2019-06-09",2020-07-11 20:47:00
"61","2019-06-09",2020-07-11 20:48:00
"62","2019-06-09",2020-07-11 20:48:00
"63","2019-06-09",2020-07-11 20:49:00
"64","2019-06-09",2020-07-11 20:49:00
"65","2019-06-09",2020-07-11 20:49:00
"66","2019-06-09",2020-07-11 20:51:00
"67","2019-06-09",2020-07-11 20:51:00
"68","2019-06-09",2020-07-11 20:53:00
"69","2019-06-09",2020-07-11 20:53:00
"70","2019-06-09",2020-07-11 20:58:00
"71","2019-06-09",2020-07-11 20:58:00
