,date,6/2/20,6/5/20,6/7/20,6/9/20,6/11/20,6/13/19,6/15/19,6/18/19,6/19/19,6/20/19,6/23/19,6/26/19,6/28/19,6/29/19,7/1/19,7/6/19,7/14/19,7/15/19,7/18/19,7/19/19,7/21/19,7/23/19,7/26/19,7/29/19,7/31/19,8/3/19,8/5/19,8/9/19,8/12/19,8/18/19,8/21/19,8/28/19,9/4/19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
8:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
8:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
8:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
8:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
8:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:19,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
8:21,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:22,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:23,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
8:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8:26,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
8:27,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,
8:28,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,
8:29,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
8:30,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
8:31,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,
8:32,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
8:33,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,
8:34,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,2,,,,,
8:35,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,
8:36,,,,1,,,,,,,,,,1,1,,,1,,,,,,,1,,,,1,1,1,,,
8:37,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,2,1,,,
8:38,,,1,2,,,,,,,,,,,,,,,,,,2,1,,,,,1,,,,,,
8:39,,,,,,,,,1,,,,,,,,,,1,,,,,,3,,1,1,1,,,,,
8:40,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,2,,,,,
8:41,,,,1,,,,,,,,,,,,,,,1,1,,1,,1,,,1,,,1,,,,
8:42,,,,,1,1,,,,,,,,,,,,,2,,,,,,1,1,,,,,,,,
8:43,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,
8:44,,,,1,1,1,,,,,,,,1,1,1,,,,1,,,,,1,2,1,,,,,,,
8:45,,,2,,1,1,,,,,,1,,,,,,,,,1,1,,,,,2,,1,,,,,
8:46,,,1,,2,1,,,,,,,,,,,1,,2,,1,,1,,,,,1,,1,,,,
8:47,,,,1,1,,,2,,,,1,,,,,,,,1,,1,,2,,2,,,,,,,,
8:48,,,,,2,1,,,,,,1,,,1,,,,,,,,,,,1,1,1,1,1,,,,
8:49,,,,3,3,,,1,,2,,1,1,,,,1,,1,,,,,2,,,1,,,,,,,
8:50,,,,,,,1,,,,,,,,,,2,,2,,1,1,,,1,,,,,,,,,
8:51,,,,,2,,,,1,1,,1,,,1,,,1,,,,,,1,,1,,,1,1,,,,
8:52,,,,1,,,,,1,,,,,,4,,,1,1,1,,,,,,1,1,,,,,,,
8:53,,1,,,2,2,,,,,,2,1,,,,,,,1,,1,1,1,,,2,1,,,,,,
8:54,,,1,,,,,1,,1,,,3,,1,2,,1,,1,,,,1,1,,,1,,,,,,
8:55,,,1,1,,,,,1,1,2,,1,,,2,,,2,,,,,1,,,1,,,,,,,
8:56,,,1,,,,,1,,2,,,1,,3,,,,,,,,1,1,,,,,,,,,,
8:57,,,1,1,,,,,,1,1,1,1,,1,1,,,1,,1,,,,,,,,,,,,,
8:58,,,,1,2,1,,1,,,,,3,,1,,,,,1,2,,,,,,,,,,,,,
8:59,,1,,,2,,,,,1,,,1,,3,2,1,,,,1,1,1,,1,,,,,,,,,
9:00,,1,,1,1,,,,,2,,,,,,1,1,1,,,1,1,,,,,,,,,,,,
9:01,,1,,1,2,,1,,1,,2,,,,2,1,,1,1,2,,,,,1,,,,,,,,,
9:02,,1,,,,,1,,,,1,,1,1,1,,1,,,2,,1,,,,,,,,,,,#ERROR!,
9:03,,,,,,1,,1,1,1,,,3,,1,1,2,1,,,,,,1,,,,,,,,,,
9:04,,,,2,,,,,1,1,,1,,2,1,1,,,1,1,,,,,,,,,,,,,,
9:05,,1,,,1,,1,1,2,,,,,,1,,,1,,,,,,,,,,,,,,,,
9:06,,,,,1,1,,1,,,,,2,,2,,1,,1,1,,,,,,,,,,,,,,
9:07,,,,2,,1,,1,,1,1,,1,,2,1,,,,,1,,,,,,,,,,,,,
9:08,,,,1,2,1,,1,,,,,1,1,1,1,,,,,2,,,,,,,,,,,,,
9:09,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,
9:10,,,,2,1,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,
9:11,,,,1,,,1,,,,,,,2,1,2,,,1,,,,,,,,,,,,,,,
9:12,,,,1,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,
9:13,,,,3,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,
9:14,,,,1,,,,1,,1,1,,,,1,,,,,1,,,,,,,,,,,,,,
9:15,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
9:16,,,,1,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
9:17,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
9:18,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
9:19,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
9:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:21,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
9:22,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
9:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
